iso,adm1,Tree_Cover_Loss_Year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg_x,Alert_Year,alert__week,alert__count,confidence__cat,gfw_net_flux_co2e__Mg,gfw_gross_cumulative_aboveground_belowground_co2_removals__Mg,gfw_gross_emissions_co2e_all_gases__Mg_y,includes_gain_pixels,umd_global_land_cover__ipcc_class,wri_tropical_tree_cover_extent__ha
BGD,3,2001,276.320376140015,113376.889629169,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Cropland,91326.4116573039
BGD,3,2001,276.320376140015,113376.889629169,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Forest,131978.601005766
BGD,3,2001,276.320376140015,113376.889629169,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Grassland,19641.6542683522
BGD,3,2001,276.320376140015,113376.889629169,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Other,10320.6433780852
BGD,3,2001,276.320376140015,113376.889629169,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Settlements,659668.97527564
BGD,3,2001,276.320376140015,113376.889629169,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Wetlands,81017.4444702508
BGD,3,2002,402.491398238288,161807.477483987,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Cropland,91326.4116573039
BGD,3,2002,402.491398238288,161807.477483987,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Forest,131978.601005766
BGD,3,2002,402.491398238288,161807.477483987,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Grassland,19641.6542683522
BGD,3,2002,402.491398238288,161807.477483987,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Other,10320.6433780852
BGD,3,2002,402.491398238288,161807.477483987,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Settlements,659668.97527564
BGD,3,2002,402.491398238288,161807.477483987,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Wetlands,81017.4444702508
BGD,3,2003,58.907113201275,22725.7232747469,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Cropland,91326.4116573039
BGD,3,2003,58.907113201275,22725.7232747469,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Forest,131978.601005766
BGD,3,2003,58.907113201275,22725.7232747469,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Grassland,19641.6542683522
BGD,3,2003,58.907113201275,22725.7232747469,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Other,10320.6433780852
BGD,3,2003,58.907113201275,22725.7232747469,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Settlements,659668.97527564
BGD,3,2003,58.907113201275,22725.7232747469,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Wetlands,81017.4444702508
BGD,3,2004,322.433035792532,134272.45294643,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Cropland,91326.4116573039
BGD,3,2004,322.433035792532,134272.45294643,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Forest,131978.601005766
BGD,3,2004,322.433035792532,134272.45294643,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Grassland,19641.6542683522
BGD,3,2004,322.433035792532,134272.45294643,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Other,10320.6433780852
BGD,3,2004,322.433035792532,134272.45294643,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Settlements,659668.97527564
BGD,3,2004,322.433035792532,134272.45294643,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Wetlands,81017.4444702508
BGD,3,2005,265.372930615962,110277.95693576,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Cropland,91326.4116573039
BGD,3,2005,265.372930615962,110277.95693576,,,,,-11808021.0904628,14271412.5345474,2463391.44534861,True,Forest,131978.601005766
