definition,heatwave_days,event_count,total_intensity,mean_duration,max_duration,year
operational_36c_1d,12,4,9.965103,3,7,1972
operational_36c_1d,17,5,14.737227,3.4,13,1973
operational_36c_1d,0,0,0,0,0,1974
operational_36c_1d,19,4,29.968074,4.75,7,1975
operational_36c_1d,14,4,10.775951,3.5,7,1976
operational_36c_1d,0,0,0,0,0,1977
operational_36c_1d,0,0,0,0,0,1978
operational_36c_1d,32,7,63.083595,4.571428571,13,1979
operational_36c_1d,9,4,11.813818,2.25,5,1980
operational_36c_1d,0,0,0,0,0,1981
operational_36c_1d,4,2,0.981701,2,2,1982
operational_36c_1d,0,0,0,0,0,1983
operational_36c_1d,4,4,2.541698,1,1,1984
operational_36c_1d,1,1,0.340424,1,1,1985
operational_36c_1d,6,3,4.772548,2,4,1986
operational_36c_1d,9,4,8.253826,2.25,5,1987
operational_36c_1d,6,4,3.682548,1.5,2,1988
operational_36c_1d,12,7,6.975097,1.714285714,3,1989
operational_36c_1d,0,0,0,0,0,1990
operational_36c_1d,3,1,1.331275,3,3,1991
operational_36c_1d,19,6,15.278072,3.166666667,7,1992
operational_36c_1d,0,0,0,0,0,1993
operational_36c_1d,0,0,0,0,0,1994
operational_36c_1d,17,7,12.817222,2.428571429,6,1995
operational_36c_1d,3,1,3.301273,3,3,1996
operational_36c_1d,0,0,0,0,0,1997
operational_36c_1d,0,0,0,0,0,1998
operational_36c_1d,13,3,6.805526,4.333333333,6,1999
operational_36c_1d,0,0,0,0,0,2000
operational_36c_1d,3,2,1.811275,1.5,2,2001
operational_36c_1d,0,0,0,0,0,2002
operational_36c_1d,0,0,0,0,0,2003
operational_36c_1d,2,1,0.580849,2,2,2004
operational_36c_1d,0,0,0,0,0,2005
operational_36c_1d,2,2,2.040848,1,1,2006
operational_36c_1d,5,3,1.122124,1.666666667,2,2007
operational_36c_1d,11,2,9.394672,5.5,6,2008
operational_36c_1d,12,5,11.395099,2.4,6,2009
operational_36c_1d,23,7,16.419774,3.285714286,8,2010
operational_36c_1d,0,0,0,0,0,2011
operational_36c_1d,3,3,0.741276,1,1,2012
operational_36c_1d,4,2,2.901696,2,2,2013
operational_36c_1d,16,4,13.576803,4,7,2014
operational_36c_1d,0,0,0,0,0,2015
operational_36c_1d,9,4,5.203819,2.25,4,2016
operational_36c_1d,0,0,0,0,0,2017
operational_36c_1d,1,1,0.700424,1,1,2018
operational_36c_1d,6,5,0.842545,1.2,2,2019
operational_36c_1d,1,1,0.550426,1,1,2020
operational_36c_1d,16,6,10.576795,2.666666667,6,2021
operational_36c_1d,1,1,0.130424,1,1,2022
