definition,event_id,start_date,end_date,duration,peak_tmax,mean_tmax,cumulative_excess,maximum_excess,onset_day_of_year,cessation_day_of_year,start_year,start_month,decade
operational_36c_1d,operational_36c_1d_0001,1972-04-23,1972-04-25,3,37.170425,36.673758,2.0212739999999982,1.1704250000000016,114,116,1972,4,1970
operational_36c_1d,operational_36c_1d_0002,1972-05-11,1972-05-11,1,36.150425,36.150425,0.15042499999999848,0.15042499999999848,132,132,1972,5,1970
operational_36c_1d,operational_36c_1d_0003,1972-05-13,1972-05-19,7,37.200424,37.09613971428571,7.6729780000000005,1.2004239999999982,134,140,1972,5,1970
operational_36c_1d,operational_36c_1d_0004,1972-06-12,1972-06-12,1,36.120426,36.120426,0.12042600000000192,0.12042600000000192,164,164,1972,6,1970
operational_36c_1d,operational_36c_1d_0005,1973-03-26,1973-03-26,1,36.440426,36.440426,0.4404260000000022,0.4404260000000022,85,85,1973,3,1970
operational_36c_1d,operational_36c_1d_0006,1973-03-31,1973-04-12,13,38.500423,37.05119461538462,13.665530000000011,2.500422999999998,90,102,1973,3,1970
operational_36c_1d,operational_36c_1d_0007,1973-04-16,1973-04-16,1,36.160423,36.160423,0.16042300000000154,0.16042300000000154,106,106,1973,4,1970
operational_36c_1d,operational_36c_1d_0008,1973-04-19,1973-04-19,1,36.110424,36.110424,0.11042400000000185,0.11042400000000185,109,109,1973,4,1970
operational_36c_1d,operational_36c_1d_0009,1973-04-21,1973-04-21,1,36.360424,36.360424,0.36042400000000185,0.36042400000000185,111,111,1973,4,1970
operational_36c_1d,operational_36c_1d_0010,1975-04-03,1975-04-03,1,36.180424,36.180424,0.18042400000000214,0.18042400000000214,93,93,1975,4,1970
operational_36c_1d,operational_36c_1d_0011,1975-04-07,1975-04-11,5,37.890427,37.1784248,5.892124000000003,1.8904270000000025,97,101,1975,4,1970
operational_36c_1d,operational_36c_1d_0012,1975-04-27,1975-05-03,7,38.290424,37.548996428571435,10.842974999999996,2.2904240000000016,117,123,1975,4,1970
operational_36c_1d,operational_36c_1d_0013,1975-05-06,1975-05-11,6,39.250423,38.17542516666666,13.052551000000001,3.250422999999998,126,131,1975,5,1970
operational_36c_1d,operational_36c_1d_0014,1976-03-21,1976-03-21,1,36.080425,36.080425,0.08042499999999819,0.08042499999999819,81,81,1976,3,1970
operational_36c_1d,operational_36c_1d_0015,1976-03-29,1976-03-30,2,36.470425,36.340425499999995,0.680850999999997,0.47042499999999876,89,90,1976,3,1970
operational_36c_1d,operational_36c_1d_0016,1976-04-07,1976-04-10,4,37.650425,36.815425,3.2616999999999976,1.6504249999999985,98,101,1976,4,1970
operational_36c_1d,operational_36c_1d_0017,1976-04-12,1976-04-18,7,38.160423,36.96471071428572,6.752975000000006,2.1604230000000015,103,109,1976,4,1970
operational_36c_1d,operational_36c_1d_0018,1979-03-25,1979-03-27,3,37.820423,37.01042433333333,3.0312729999999988,1.8204229999999981,84,86,1979,3,1970
operational_36c_1d,operational_36c_1d_0019,1979-03-29,1979-04-05,8,39.240425,37.786675,14.293400000000005,3.240425000000002,88,95,1979,3,1970
operational_36c_1d,operational_36c_1d_0020,1979-04-25,1979-04-26,2,36.440426,36.300424500000005,0.6008490000000037,0.4404260000000022,115,116,1979,4,1970
operational_36c_1d,operational_36c_1d_0021,1979-04-28,1979-04-29,2,36.520424,36.315424,0.6308480000000003,0.5204239999999984,118,119,1979,4,1970
