definition,heatwave_days,event_count,total_intensity,mean_duration,max_duration,year,month
operational_36c_1d,0,0,0,0,0,1972,1
operational_36c_1d,0,0,0,0,0,1972,2
operational_36c_1d,0,0,0,0,0,1972,3
operational_36c_1d,3,1,2.021274,3,3,1972,4
operational_36c_1d,8,2,7.823403,4,7,1972,5
operational_36c_1d,1,1,0.120426,1,1,1972,6
operational_36c_1d,0,0,0,0,0,1972,7
operational_36c_1d,0,0,0,0,0,1972,8
operational_36c_1d,0,0,0,0,0,1972,9
operational_36c_1d,0,0,0,0,0,1972,10
operational_36c_1d,0,0,0,0,0,1972,11
operational_36c_1d,0,0,0,0,0,1972,12
operational_36c_1d,0,0,0,0,0,1973,1
operational_36c_1d,0,0,0,0,0,1973,2
operational_36c_1d,2,2,14.105956,7,13,1973,3
operational_36c_1d,15,3,0.631271,1,1,1973,4
operational_36c_1d,0,0,0,0,0,1973,5
operational_36c_1d,0,0,0,0,0,1973,6
operational_36c_1d,0,0,0,0,0,1973,7
operational_36c_1d,0,0,0,0,0,1973,8
operational_36c_1d,0,0,0,0,0,1973,9
operational_36c_1d,0,0,0,0,0,1973,10
operational_36c_1d,0,0,0,0,0,1973,11
operational_36c_1d,0,0,0,0,0,1973,12
operational_36c_1d,0,0,0,0,0,1974,1
operational_36c_1d,0,0,0,0,0,1974,2
operational_36c_1d,0,0,0,0,0,1974,3
operational_36c_1d,0,0,0,0,0,1974,4
operational_36c_1d,0,0,0,0,0,1974,5
operational_36c_1d,0,0,0,0,0,1974,6
operational_36c_1d,0,0,0,0,0,1974,7
operational_36c_1d,0,0,0,0,0,1974,8
operational_36c_1d,0,0,0,0,0,1974,9
operational_36c_1d,0,0,0,0,0,1974,10
operational_36c_1d,0,0,0,0,0,1974,11
operational_36c_1d,0,0,0,0,0,1974,12
operational_36c_1d,0,0,0,0,0,1975,1
operational_36c_1d,0,0,0,0,0,1975,2
operational_36c_1d,0,0,0,0,0,1975,3
operational_36c_1d,10,3,16.915523,4.333333333,7,1975,4
operational_36c_1d,9,1,13.052551,6,6,1975,5
operational_36c_1d,0,0,0,0,0,1975,6
operational_36c_1d,0,0,0,0,0,1975,7
operational_36c_1d,0,0,0,0,0,1975,8
operational_36c_1d,0,0,0,0,0,1975,9
operational_36c_1d,0,0,0,0,0,1975,10
operational_36c_1d,0,0,0,0,0,1975,11
operational_36c_1d,0,0,0,0,0,1975,12
operational_36c_1d,0,0,0,0,0,1976,1
operational_36c_1d,0,0,0,0,0,1976,2
operational_36c_1d,3,2,0.761276,1.5,2,1976,3
operational_36c_1d,11,2,10.014675,5.5,7,1976,4
operational_36c_1d,0,0,0,0,0,1976,5
operational_36c_1d,0,0,0,0,0,1976,6
operational_36c_1d,0,0,0,0,0,1976,7
operational_36c_1d,0,0,0,0,0,1976,8
operational_36c_1d,0,0,0,0,0,1976,9
operational_36c_1d,0,0,0,0,0,1976,10
operational_36c_1d,0,0,0,0,0,1976,11
operational_36c_1d,0,0,0,0,0,1976,12
operational_36c_1d,0,0,0,0,0,1977,1
operational_36c_1d,0,0,0,0,0,1977,2
operational_36c_1d,0,0,0,0,0,1977,3
operational_36c_1d,0,0,0,0,0,1977,4
operational_36c_1d,0,0,0,0,0,1977,5
operational_36c_1d,0,0,0,0,0,1977,6
operational_36c_1d,0,0,0,0,0,1977,7
operational_36c_1d,0,0,0,0,0,1977,8
operational_36c_1d,0,0,0,0,0,1977,9
operational_36c_1d,0,0,0,0,0,1977,10
operational_36c_1d,0,0,0,0,0,1977,11
operational_36c_1d,0,0,0,0,0,1977,12
operational_36c_1d,0,0,0,0,0,1978,1
operational_36c_1d,0,0,0,0,0,1978,2
operational_36c_1d,0,0,0,0,0,1978,3
operational_36c_1d,0,0,0,0,0,1978,4
operational_36c_1d,0,0,0,0,0,1978,5
operational_36c_1d,0,0,0,0,0,1978,6
operational_36c_1d,0,0,0,0,0,1978,7
operational_36c_1d,0,0,0,0,0,1978,8
operational_36c_1d,0,0,0,0,0,1978,9
operational_36c_1d,0,0,0,0,0,1978,10
operational_36c_1d,0,0,0,0,0,1978,11
operational_36c_1d,0,0,0,0,0,1978,12
operational_36c_1d,0,0,0,0,0,1979,1
operational_36c_1d,0,0,0,0,0,1979,2
operational_36c_1d,6,2,17.324673,5.5,8,1979,3
operational_36c_1d,9,2,1.231697,2,2,1979,4
operational_36c_1d,11,2,44.146801,8,13,1979,5
operational_36c_1d,5,0,0,0,0,1979,6
operational_36c_1d,0,0,0,0,0,1979,7
operational_36c_1d,1,1,0.380424,1,1,1979,8
operational_36c_1d,0,0,0,0,0,1979,9
operational_36c_1d,0,0,0,0,0,1979,10
operational_36c_1d,0,0,0,0,0,1979,11
operational_36c_1d,0,0,0,0,0,1979,12
operational_36c_1d,0,0,0,0,0,1980,1
operational_36c_1d,0,0,0,0,0,1980,2
operational_36c_1d,1,1,0.500423,1,1,1980,3
operational_36c_1d,8,3,11.313395,2.666666667,5,1980,4
operational_36c_1d,0,0,0,0,0,1980,5
operational_36c_1d,0,0,0,0,0,1980,6
operational_36c_1d,0,0,0,0,0,1980,7
operational_36c_1d,0,0,0,0,0,1980,8
operational_36c_1d,0,0,0,0,0,1980,9
operational_36c_1d,0,0,0,0,0,1980,10
operational_36c_1d,0,0,0,0,0,1980,11
operational_36c_1d,0,0,0,0,0,1980,12
operational_36c_1d,0,0,0,0,0,1981,1
operational_36c_1d,0,0,0,0,0,1981,2
operational_36c_1d,0,0,0,0,0,1981,3
operational_36c_1d,0,0,0,0,0,1981,4
operational_36c_1d,0,0,0,0,0,1981,5
operational_36c_1d,0,0,0,0,0,1981,6
operational_36c_1d,0,0,0,0,0,1981,7
operational_36c_1d,0,0,0,0,0,1981,8
operational_36c_1d,0,0,0,0,0,1981,9
operational_36c_1d,0,0,0,0,0,1981,10
operational_36c_1d,0,0,0,0,0,1981,11
operational_36c_1d,0,0,0,0,0,1981,12
operational_36c_1d,0,0,0,0,0,1982,1
operational_36c_1d,0,0,0,0,0,1982,2
operational_36c_1d,0,0,0,0,0,1982,3
operational_36c_1d,2,1,0.690849,2,2,1982,4
operational_36c_1d,2,1,0.290852,2,2,1982,5
operational_36c_1d,0,0,0,0,0,1982,6
operational_36c_1d,0,0,0,0,0,1982,7
operational_36c_1d,0,0,0,0,0,1982,8
operational_36c_1d,0,0,0,0,0,1982,9
operational_36c_1d,0,0,0,0,0,1982,10
operational_36c_1d,0,0,0,0,0,1982,11
operational_36c_1d,0,0,0,0,0,1982,12
operational_36c_1d,0,0,0,0,0,1983,1
operational_36c_1d,0,0,0,0,0,1983,2
operational_36c_1d,0,0,0,0,0,1983,3
operational_36c_1d,0,0,0,0,0,1983,4
operational_36c_1d,0,0,0,0,0,1983,5
operational_36c_1d,0,0,0,0,0,1983,6
operational_36c_1d,0,0,0,0,0,1983,7
operational_36c_1d,0,0,0,0,0,1983,8
operational_36c_1d,0,0,0,0,0,1983,9
operational_36c_1d,0,0,0,0,0,1983,10
operational_36c_1d,0,0,0,0,0,1983,11
operational_36c_1d,0,0,0,0,0,1983,12
operational_36c_1d,0,0,0,0,0,1984,1
operational_36c_1d,0,0,0,0,0,1984,2
operational_36c_1d,2,2,0.590851,1,1,1984,3
operational_36c_1d,2,2,1.950847,1,1,1984,4
operational_36c_1d,0,0,0,0,0,1984,5
operational_36c_1d,0,0,0,0,0,1984,6
operational_36c_1d,0,0,0,0,0,1984,7
operational_36c_1d,0,0,0,0,0,1984,8
operational_36c_1d,0,0,0,0,0,1984,9
operational_36c_1d,0,0,0,0,0,1984,10
operational_36c_1d,0,0,0,0,0,1984,11
operational_36c_1d,0,0,0,0,0,1984,12
operational_36c_1d,0,0,0,0,0,1985,1
operational_36c_1d,0,0,0,0,0,1985,2
operational_36c_1d,1,1,0.340424,1,1,1985,3
operational_36c_1d,0,0,0,0,0,1985,4
operational_36c_1d,0,0,0,0,0,1985,5
operational_36c_1d,0,0,0,0,0,1985,6
