year,heatwave_days,decade,observed,fitted,pearson_residual,randomized_quantile_residual,leverage,cooks_distance,case_deletion_decade_change,influence_method,influential
1972,10,-2.6,10,4.725116192557439,0.46586317062371047,1.090253882955444,,0.007354235001848071,0.017517075332670187,case-deletion negative_binomial parameter distance,False
1973,13,-2.5,13,4.738547980786133,0.727598444512111,1.2240939753249243,,0.01763871471889457,0.026805320975055082,case-deletion negative_binomial parameter distance,False
1974,0,-2.4,0,4.752017950707651,-0.4173527544887473,-0.8602345350690977,,0.0045698819651754695,-0.013333204483365748,case-deletion negative_binomial parameter distance,False
1975,18,-2.3,18,4.76552621085867,1.1591020197928426,1.4015568077043699,,0.04184398841822633,0.040065110066343695,case-deletion negative_binomial parameter distance,False
1976,11,-2.2,11,4.779072870084397,0.543325151556955,1.1095525386529514,,0.007845490998848747,0.016966865689794778,case-deletion negative_binomial parameter distance,False
1977,0,-2.1,0,4.792658037539448,-0.417417630064228,-2.7463454936399962,,0.003892526989028775,-0.011668074791734498,case-deletion negative_binomial parameter distance,False
1978,0,-2.0,0,4.806281822688726,-0.4174391394518796,-1.2244008974188745,,0.003686892914146556,-0.011113108592802744,case-deletion negative_binomial parameter distance,False
1979,27,-1.9,27,4.819944335308301,1.9210386066861265,1.6741649038958175,,0.09443228795555035,0.05507253403256783,case-deletion negative_binomial parameter distance,True
1980,5,-1.8,5,4.833645685486298,0.014368022404081917,0.7287675084146854,,3.745920599024625e-06,0.00033596662742697153,case-deletion negative_binomial parameter distance,False
1981,0,-1.7,0,4.847385983623782,-0.4175033222443092,0.07763941843390751,,0.00313035837176297,-0.009448331064717718,case-deletion negative_binomial parameter distance,False
1982,0,-1.6,0,4.861165340435647,-0.4175246018690123,-0.4110426504638118,,0.0029649533230060605,-0.008893418950994613,case-deletion negative_binomial parameter distance,False
1983,0,-1.5,0,4.874983866951513,-0.41754582441523574,0.018822403682311296,,0.002809359100490598,-0.008338492451807351,case-deletion negative_binomial parameter distance,False
1984,0,-1.4,0,4.888841674516611,-0.417566990027248,-1.1092758220730907,,0.0026636759770253446,-0.00778355113297757,case-deletion negative_binomial parameter distance,False
1985,0,-1.3,0,4.902738874792691,-0.41758809884900144,-0.6049229595762745,,0.0025280536730945984,-0.007228591851881374,case-deletion negative_binomial parameter distance,False
1986,4,-1.2,4,4.916675579758914,-0.07785994915012179,0.6736216687768872,,8.665384780334477e-05,-0.00126988861007089,case-deletion negative_binomial parameter distance,False
1987,5,-1.1,5,4.930651901712761,0.005873839207899728,0.7564674586819499,,3.6136762975647606e-07,7.069098193624238e-05,case-deletion negative_binomial parameter distance,False
1988,0,-1.0,0,4.944667953270927,-0.417651086007495,-0.3207291069435314,,0.0021815372358895777,-0.005563514471129544,case-deletion negative_binomial parameter distance,False
1989,6,-0.9,6,4.9587238473702415,0.08770640883296459,0.8374740636843812,,9.28312851186803e-05,0.001043326670858588,case-deletion negative_binomial parameter distance,False
1990,0,-0.8,0,4.972819697268569,-0.41769279612012356,-2.076027312688878,,0.0020008150593226553,-0.004453207330888109,case-deletion negative_binomial parameter distance,False
1991,3,-0.7,3,4.986955616545729,-0.16642985867227925,0.5110097116147196,,0.00030889975683222624,-0.0015732581204215938,case-deletion negative_binomial parameter distance,False
1992,14,-0.6,14,5.0011317191044,0.751657024003182,1.2434810303650137,,0.006351907893806887,0.00606068159618325,case-deletion negative_binomial parameter distance,False
1993,0,-0.5,0,5.015348119171052,-0.4177549421439178,-0.7230999654980381,,0.0018051888379516563,-0.002787190768792046,case-deletion negative_binomial parameter distance,False
1994,0,-0.4,0,5.029604931296856,-0.41777554627920305,-1.8204246536352104,,0.0017601129739937735,-0.002231670262870529,case-deletion negative_binomial parameter distance,False
1995,13,-0.3,13,5.0439022703586085,0.659018828097899,1.1781019434978623,,0.004512652451028185,0.0026522606949424994,case-deletion negative_binomial parameter distance,False
1996,3,-0.2,3,5.0582402515596625,-0.1700130633637231,0.5854368352643842,,0.00028418083405153685,-0.00047510473318597424,case-deletion negative_binomial parameter distance,False
1997,0,-0.1,0,5.0726189904308505,-0.4178370270384916,-1.17002303580197,,0.0016853443814565737,-0.0005644499836375758,case-deletion negative_binomial parameter distance,False
1998,0,0.0,0,5.087038602831417,-0.4178574105433631,-1.4316799511376828,,0.001676728255052157,-8.460966286670535e-06,case-deletion negative_binomial parameter distance,False
1999,13,0.1,13,5.101499204949953,0.6469877820270729,1.1765428364360142,,0.004238599884368172,-0.0008489676886502921,case-deletion negative_binomial parameter distance,False
2000,0,0.2,0,5.11600091330533,-0.4178980132686438,-0.0270121129320573,,0.0016980191038676504,0.001103946113694184,case-deletion negative_binomial parameter distance,False
2001,0,0.3,0,5.130543844747641,-0.4179182327672598,-0.030745248775997318,,0.0017238311714345433,0.0016603745870229156,case-deletion negative_binomial parameter distance,False
2002,0,0.4,0,5.145128116459144,-0.41793839787481574,0.06942138738599947,,0.0017577401554048175,0.0022149433068863224,case-deletion negative_binomial parameter distance,False
2003,0,0.5,0,5.1597538459551995,-0.4179585087296426,-0.7737410189626115,,0.001803895564930594,0.0027718269458198407,case-deletion negative_binomial parameter distance,False
2004,0,0.6,0,5.174421151085224,-0.4179785654697635,-0.4384698992300331,,0.0018602074556526927,0.003328891090382497,case-deletion negative_binomial parameter distance,False
2005,0,0.7,0,5.189130150033635,-0.41799856823289366,-0.9274712906102329,,0.0019266881934053687,0.0038861424282613,case-deletion negative_binomial parameter distance,False
2006,0,0.8,0,5.203880961320808,-0.4180185171564414,-0.24988745759369152,,0.0020033507959089395,0.004443587586898636,case-deletion negative_binomial parameter distance,False
2007,0,0.9,0,5.218673703804027,-0.41803841237750794,-1.1921775040297988,,0.0020902089393836382,0.005001233142399735,case-deletion negative_binomial parameter distance,False
2008,11,1.0,11,5.2335084966784455,0.460633506433421,1.0966077540434622,,0.0027713501024949215,-0.0062026955644661624,case-deletion negative_binomial parameter distance,False
2009,9,1.1,9,5.248385459478044,0.29884765029588184,1.0079572314517018,,0.0012139976383532271,-0.004432833285459608,case-deletion negative_binomial parameter distance,False
2010,19,1.2,19,5.263304712076594,1.0911930963582663,1.3764684041456847,,0.017883027333876075,-0.017922503607491994,case-deletion negative_binomial parameter distance,False
2011,0,1.3,0,5.278266374688627,-0.41811745896827635,-0.8301327627699452,,0.002539894086731462,0.007233949688531725,case-deletion negative_binomial parameter distance,False
2012,0,1.4,0,5.293270567870399,-0.4181370877227506,-0.6070818561219412,,0.0026779589318018746,0.007792694893097533,case-deletion negative_binomial parameter distance,False
2013,0,1.5,0,5.308317412520865,-0.4181566635909342,-2.5170043133233873,,0.0028263159323128713,0.008351679566819776,case-deletion negative_binomial parameter distance,False
2014,15,1.6,15,5.323407029882651,0.7601373943138657,1.2418008505776754,,0.010733007983928747,-0.01685030998253219,case-deletion negative_binomial parameter distance,False
2015,0,1.7,0,5.338539541543031,-0.41819565720799134,-0.8901064981591436,,0.003153982132772482,0.009470393768543525,case-deletion negative_binomial parameter distance,False
2016,7,1.8,7,5.353715069434907,0.12860250632505163,0.8573225939166587,,0.0003266730685758469,-0.003170346477228376,case-deletion negative_binomial parameter distance,False
2017,0,1.9,0,5.368933735837795,-0.4182344408955428,-0.24954578693765608,,0.0035230527342830333,0.010590146028476601,case-deletion negative_binomial parameter distance,False
2018,0,2.0,0,5.3841956633788035,-0.41825375435071077,-1.5295219650727376,,0.003723168704586905,0.011150428697494306,case-deletion negative_binomial parameter distance,False
2019,0,2.1,0,5.39950097503363,-0.4182730157248471,-1.2548195693339053,,0.003933702606851228,0.011710991885187583,case-deletion negative_binomial parameter distance,False
2020,0,2.2,0,5.414849794127542,-0.41829222515110576,-1.4256977959863795,,0.00415467892761988,0.012271842924881562,case-deletion negative_binomial parameter distance,False
2021,12,2.3,12,5.430242244336378,0.5060924223134935,1.1181617133262183,,0.007214608115067524,-0.0165707448869616,case-deletion negative_binomial parameter distance,False
