simulation,2025,2026,2027,2028,2029
1,0,3,0,0,10
2,1,0,3,19,1
3,2,3,0,0,1
4,1,6,15,0,0
5,1,0,0,11,0
6,0,1,0,0,6
7,2,0,22,10,0
8,1,1,0,0,0
9,2,0,0,7,0
10,3,0,7,0,3
11,5,0,0,25,0
12,0,5,0,0,4
13,0,0,0,0,0
14,0,8,2,6,0
15,6,0,0,200,0
16,2,0,2,0,4
17,14,12,2,19,19
18,31,0,0,4,0
19,0,0,10,0,7
20,13,0,58,0,0
21,8,0,6,2,0
22,0,0,1,0,14
23,0,0,13,0,0
24,3,11,0,0,0
25,0,8,0,1,1
26,2,13,0,2,0
27,39,0,64,0,1
28,1,0,20,2,0
29,55,17,47,0,0
30,0,4,0,33,45
31,0,0,62,0,0
32,0,0,0,0,0
33,0,10,0,0,0
34,45,7,0,0,0
35,0,0,0,1,0
36,0,0,4,0,1
37,1,0,1,46,1
38,2,0,7,1,0
39,34,0,0,9,0
40,0,0,0,3,24
41,7,0,2,0,4
42,62,0,0,59,5
43,0,0,0,0,1
44,9,6,1,41,0
45,0,0,0,0,0
46,6,0,0,16,78
47,0,0,1,8,3
48,1,0,0,0,53
49,0,0,6,2,0
50,0,0,75,0,0
51,0,10,0,1,0
52,0,0,0,12,0
53,9,0,0,14,0
54,1,39,0,0,0
55,7,39,13,0,0
56,23,0,0,2,2
57,0,5,1,0,13
58,0,1,1,14,2
59,4,0,7,14,0
60,0,1,31,1,0
61,64,0,17,0,5
62,0,0,5,0,0
63,38,0,22,1,0
64,0,32,17,6,0
65,0,22,0,5,0
66,0,2,14,4,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,13,0,0,4
70,0,4,0,18,7
71,3,58,8,0,1
72,0,9,0,22,0
73,0,0,1,0,0
74,14,79,0,55,5
75,0,0,1,0,0
76,42,10,0,0,22
77,0,0,0,0,0
78,7,0,4,1,8
79,13,0,1,0,0
80,5,0,2,1,0
81,0,12,0,0,0
82,8,4,11,0,0
83,15,9,0,0,23
84,0,0,0,0,0
85,0,32,15,8,4
86,1,0,3,123,34
87,2,19,9,0,0
88,1,7,0,4,0
89,0,0,2,9,5
90,0,114,7,0,0
91,1,52,0,63,0
92,0,3,0,0,5
93,3,0,4,6,3
94,1,0,0,0,0
95,21,51,7,0,0
96,0,0,2,25,7
97,3,0,1,18,0
98,0,0,0,13,0
99,185,0,43,0,0
100,5,0,0,1,0
101,2,9,5,9,0
102,0,0,2,0,3
103,6,0,3,0,0
104,1,0,0,0,0
105,0,1,0,0,3
106,45,0,84,0,20
107,1,8,0,0,17
108,0,0,0,0,5
109,0,0,0,0,12
110,32,0,0,3,1
111,2,6,1,1,0
112,0,10,14,5,0
113,0,0,13,0,9
114,0,0,0,0,0
115,0,19,0,0,0
116,3,0,0,1,0
117,1,5,89,87,0
118,0,0,0,55,0
119,0,0,3,2,14
120,1,1,3,68,34
121,6,0,18,6,0
122,2,0,6,0,0
123,0,0,0,7,2
124,6,7,0,1,0
125,0,0,12,0,0
126,1,0,12,21,6
127,6,0,0,0,0
128,0,0,22,64,0
129,3,0,6,3,0
130,0,0,0,0,1
131,13,0,0,1,0
132,2,0,2,0,0
133,0,1,1,11,0
134,1,10,17,0,0
135,0,0,2,1,4
136,0,0,0,15,0
137,0,9,0,14,0
138,39,1,0,8,1
139,0,2,1,2,0
140,1,0,0,1,2
141,1,0,2,3,0
142,0,0,0,8,0
143,0,0,0,29,0
144,4,0,1,0,0
145,0,3,9,8,0
146,1,0,0,1,0
147,0,5,0,1,0
148,0,0,92,49,0
149,0,0,1,0,0
150,0,0,1,0,0
151,13,3,0,38,0
152,15,0,0,0,0
153,0,0,1,0,1
154,15,1,30,2,1
155,0,3,0,0,5
156,1,0,1,5,29
157,0,1,13,0,4
158,0,0,0,0,0
159,1,0,0,0,0
160,0,3,0,0,6
161,0,0,0,0,0
162,0,1,0,4,85
163,0,0,5,4,7
164,7,0,0,27,0
165,1,1,0,0,0
166,0,0,10,0,75
167,1,0,1,7,6
168,44,0,1,9,0
169,1,0,68,1,3
170,2,0,1,0,0
171,58,1,0,0,0
172,0,0,25,27,2
173,1,0,6,0,0
174,6,16,0,0,5
175,1,1,0,0,4
176,0,0,0,0,0
177,1,1,0,0,2
178,0,0,4,6,0
179,0,6,13,0,0
180,0,1,0,0,0
181,0,2,25,0,9
182,0,0,0,21,2
183,4,3,5,0,0
184,17,0,96,5,75
185,0,0,0,0,1
