stratum,variable,valid_n,missing_n,mean,standard_deviation,median,first_quartile,third_quartile,interquartile_range,minimum,maximum,skewness,kurtosis,outcome,n,variance,variance_to_mean,zero_count,zero_fraction
all_year_daily,tmax,19316,0,30.13971255,3.345138142,30.690426,28.030424,32.450424,4.42,16.330425,40.200424,-0.506708633,0.0153870364,,,,,,
all_year_daily,tmin,19316,0,21.61418419,5.243302738,23.770426,17.160425,25.990425,8.83,6.450426,29.500425,-0.7008509843,-0.8649219516,,,,,,
all_year_daily,tmean,19316,0,25.47602555,4.170732755,26.996052,22.38740575,28.661468,6.27406225,10.637925,34.042923,-0.773218541,-0.524605914,,,,,,
all_year_daily,day_night_range,19316,0,8.525528361,3.309593893,8.110001,5.76,11.30999825,5.54999825,0.58,18.669999,0.2191380474,-0.9757270612,,,,,,
all_year_daily,precipitation,19315,1,5.328304425,10.51297633,0.6,0,6.7,6.7,0,261.09998,4.684842753,43.53858604,,,,,,
all_year_daily,rh_mean,19316,0,79.06006312,8.4005967,80.574125,74.35237625,85.004582,10.65220575,42.204617,97.49054,-0.8686630675,0.8281549628,,,,,,
all_year_daily,wind_speed_mean,19316,0,4.931550957,3.53407238,4.2136917,2.1897945,6.6185193,4.4287248,0,36.932915,1.13308387,1.520062135,,,,,,
all_year_daily,cloud_cover,19316,0,32.4423561,25.10949263,28.9791675,10.958333,49.541668,38.583335,0,99.958336,0.5793246456,-0.5016389218,,,,,,
all_year_daily,sunshine_duration,19316,0,471.3884496,172.6545395,502.29683,360.1777875,616.830975,256.6531875,0,811.8015,-0.6738869116,-0.2853113115,,,,,,
all_year_daily,shortwave_radiation,19315,1,4575.134403,1282.384152,4616,3919,5396.5,1477.5,266,7991,-0.4460116489,0.2962744231,,,,,,
all_year_daily,longwave_radiation,19315,1,9556.42102,1088.514671,10012,8599,10514.5,1915.5,6588,11220,-0.620355612,-1.050335047,,,,,,
all_year_daily,uv_radiation,19315,1,533.612401,140.9779099,529.64,457.1,629.545,172.445,36.629997,900.11,-0.2959486418,0.2217462643,,,,,,
all_year_daily,pressure_mean,19316,0,1007.995166,5.67201185,1008.050025,1003.4292,1012.849935,9.420735,987.86237,1021.05414,-0.1243044987,-0.9468330782,,,,,,
all_year_daily,evapotranspiration,19315,1,3.300342309,1.03487194,3.2817605,2.41776,4.0996804,1.6819204,0.39024,6.73776,0.1456682579,-0.8416419599,,,,,,
all_year_daily,soil_temperature_mean,19316,0,26.47029086,4.007351122,27.912711,23.42301925,29.5126065,6.08958725,12.919583,36.623333,-0.7399864954,-0.5940895166,,,,,,
all_year_daily,soil_moisture_mean,19316,0,0.3015822408,0.1033809905,0.3289375,0.1890728925,0.40254167,0.2134687775,0.12858331,0.43791673,-0.2076981855,-1.618700833,,,,,,
march_june_daily,tmax,6466,0,32.27558886,2.511179087,32.380424,30.662925,33.990425,3.3275,21.460424,40.200424,-0.2907647926,0.3240945329,,,,,,
march_june_daily,tmin,6466,0,23.82437793,3.039094956,24.550425,22.060425,26.110424,4.049999,12.060426,29.500425,-0.9267109362,0.4538795925,,,,,,
march_june_daily,tmean,6466,0,27.74565816,2.293431597,28.030844,26.4038615,29.3955265,2.991665,18.274176,34.042923,-0.6270207445,0.2598190605,,,,,,
march_june_daily,day_night_range,6466,0,8.451210935,2.968448978,8.16,6.230001,10.42,4.189999,0.58,18.669999,0.3669356299,-0.301019583,,,,,,
march_june_daily,precipitation,6466,0,7.266919268,13.03554016,1.7,0,9.4,9.4,0,261.09998,4.303712209,38.05044793,,,,,,
march_june_daily,rh_mean,6466,0,77.37830326,9.666452702,79.58287,71.94058,84.3452065,12.4046265,42.204617,97.47027,-0.8525742512,0.3526758773,,,,,,
march_june_daily,wind_speed_mean,6466,0,5.464723215,3.787548564,4.6800003,2.5959969,7.42159,4.8255931,0,36.932915,1.116789285,1.701414613,,,,,,
march_june_daily,cloud_cover,6466,0,34.8495104,23.69916741,30.9729165,16.63125,50.05833425,33.42708425,0,99.833336,0.6039515171,-0.3217892565,,,,,,
march_june_daily,sunshine_duration,6466,0,484.2579753,176.8644104,512.87395,369.9820175,621.654465,251.6724475,0,811.8015,-0.6164011611,-0.2865816598,,,,,,
march_june_daily,shortwave_radiation,6466,0,5198.638571,1443.965862,5519,4322.5,6331,2008.5,323,7991,-0.796041557,-0.01699043926,,,,,,
march_june_daily,longwave_radiation,6466,0,10010.76864,709.6290307,10251,9642.25,10555,912.75,7313,11220,-1.173363419,0.7718957818,,,,,,
march_june_daily,uv_radiation,6466,0,615.9839729,154.0711881,653.679965,529.985,729.55498,199.56998,46.460003,900.11,-0.9136147789,0.335790221,,,,,,
march_june_daily,pressure_mean,6466,0,1005.546443,4.310668249,1005.63333,1002.562515,1008.78754,6.225025,987.86237,1017.0625,-0.1579615269,-0.2774707514,,,,,,
march_june_daily,evapotranspiration,6466,0,3.80254693,0.9264580297,3.7828804,3.14064,4.51296,1.37232,1.04688,6.73776,-0.057113824,-0.5650399354,,,,,,
