outcome,n_years,start_year,end_year,ols_hac_slope_per_decade,ols_hac_se,ols_hac_ci_lower,ols_hac_ci_upper,ols_hac_p_value,r_squared,sen_slope_per_decade,sen_ci_lower_per_decade,sen_ci_upper_per_decade,mann_kendall_tau,mann_kendall_p_value,residual_lag1_correlation,mann_kendall_method,contrast,q_value_bh,analysis,endpoint
annual_mean_tmax,52,1972,2023,0.1916262546,0.03143094134,0.1300227416,0.2532297677,1.082538627e-09,0.4051383993,0.2005121935,0.1247287487,0.2651999073,0.4856711916,3.737703314e-07,0.01077643096,unmodified (serial correlation not detected),,3.247615882e-09,primary,
annual_mean_tmin,52,1972,2023,0.2079984173,0.02875147227,0.1516465671,0.2643502674,4.677395806e-13,0.5428873616,0.213623175,0.1485103168,0.2750327731,0.5520361991,7.637574994e-09,0.2323928121,unmodified (serial correlation not detected),,2.806437484e-12,primary,
annual_mean_day_night_range,52,1972,2023,-0.01637216264,0.02660278661,-0.06851266629,0.03576834101,0.5382705444,0.008208977679,-0.01830168542,-0.07214614155,0.03672332712,-0.07692307692,0.4208832839,0.08210135165,unmodified (serial correlation not detected),,0.5382705444,primary,
march_june_mean_tmax,53,1972,2024,0.1653215539,0.06189869512,0.04400234077,0.286640767,0.007566154569,0.09780079981,0.200170444,0.0502206715,0.3509922261,0.2423802612,0.01040669029,-0.04186711817,unmodified (serial correlation not detected),,0.01134923185,primary,
march_june_mean_tmin,53,1972,2024,0.1527603945,0.04229158886,0.06987040345,0.2356503855,0.0003037565795,0.1786798151,0.149168043,0.05347940616,0.2466530157,0.2844702467,0.002639131135,-0.03405308954,unmodified (serial correlation not detected),,0.0006075131591,primary,
formal_tmin_minus_tmax_slope_difference,,,,0.01637216264,,-0.03435051957,0.06709484484,0.5269732482,,,,,,,,,Tmin minus Tmax trend,0.5382705444,primary,
march_june_mean_tmax,52,1972,2023,0.1513593106,0.05986050042,0.03403488564,0.2686837355,0.0114539992,0.0800033783,0.1789958436,0.02825144262,0.3404371038,0.2171945701,0.02304848742,-0.06450042658,unmodified (serial correlation not detected),,,hot_season_endpoint_sensitivity,2023
march_june_mean_tmin,52,1972,2023,0.1370582689,0.03922184031,0.06018487451,0.2139316633,0.0004750618557,0.1468473013,0.1300689317,0.04068307104,0.2321311414,0.257918552,0.006960083659,-0.03110996293,unmodified (serial correlation not detected),,,hot_season_endpoint_sensitivity,2023
march_june_mean_tmax,53,1972,2024,0.1653215539,0.06189869512,0.04400234077,0.286640767,0.007566154569,0.09780079981,0.200170444,0.0502206715,0.3509922261,0.2423802612,0.01040669029,-0.04186711817,unmodified (serial correlation not detected),,,hot_season_endpoint_sensitivity,2024
march_june_mean_tmin,53,1972,2024,0.1527603945,0.04229158886,0.06987040345,0.2356503855,0.0003037565795,0.1786798151,0.149168043,0.05347940616,0.2466530157,0.2844702467,0.002639131135,-0.03405308954,unmodified (serial correlation not detected),,,hot_season_endpoint_sensitivity,2024
