section,variable_1,variable_2,estimate,decision
raw_spearman,tmax,tmin,0.4182733001,
raw_spearman,tmax,rh_mean,-0.554660472,
raw_spearman,tmax,precipitation,-0.4702688641,
raw_spearman,tmax,wind_speed_mean,0.1343757618,
raw_spearman,tmax,cloud_cover,-0.4345534531,
raw_spearman,tmax,sunshine_duration,0.4905209371,
raw_spearman,tmax,shortwave_radiation,0.6455079282,
raw_spearman,tmax,pressure_mean,-0.09505023635,
raw_spearman,tmax,soil_moisture_mean,-0.4891007657,
raw_spearman,tmin,rh_mean,0.3035784709,
raw_spearman,tmin,precipitation,0.1592139991,
raw_spearman,tmin,wind_speed_mean,0.4776578765,
raw_spearman,tmin,cloud_cover,0.3157308001,
raw_spearman,tmin,sunshine_duration,-0.1992056158,
raw_spearman,tmin,shortwave_radiation,-0.08637809012,
raw_spearman,tmin,pressure_mean,-0.7409523746,
raw_spearman,tmin,soil_moisture_mean,0.3263617751,
raw_spearman,rh_mean,precipitation,0.8238784632,
raw_spearman,rh_mean,wind_speed_mean,0.1973894853,
raw_spearman,rh_mean,cloud_cover,0.822938516,
raw_spearman,rh_mean,sunshine_duration,-0.7755235942,
raw_spearman,rh_mean,shortwave_radiation,-0.8246023556,
raw_spearman,rh_mean,pressure_mean,-0.5334036116,
raw_spearman,rh_mean,soil_moisture_mean,0.8983073244,
raw_spearman,precipitation,wind_speed_mean,0.1019539042,
raw_spearman,precipitation,cloud_cover,0.7347209441,
raw_spearman,precipitation,sunshine_duration,-0.659845672,
raw_spearman,precipitation,shortwave_radiation,-0.7762638032,
raw_spearman,precipitation,pressure_mean,-0.4367149853,
raw_spearman,precipitation,soil_moisture_mean,0.7911451082,
raw_spearman,wind_speed_mean,cloud_cover,0.3266508563,
raw_spearman,wind_speed_mean,sunshine_duration,-0.2783337294,
raw_spearman,wind_speed_mean,shortwave_radiation,-0.1730195348,
raw_spearman,wind_speed_mean,pressure_mean,-0.4835940332,
raw_spearman,wind_speed_mean,soil_moisture_mean,0.1604900357,
raw_spearman,cloud_cover,sunshine_duration,-0.9336230091,
