,tmax,tmin,tmean,day_night_range,precipitation,rh_mean,wind_speed_mean,cloud_cover,sunshine_duration,shortwave_radiation,longwave_radiation,uv_radiation,pressure_mean,evapotranspiration,soil_temperature_mean,soil_moisture_mean,vpd_mean
tmax,1.0,0.4409514856362125,0.7973853263344264,0.3945109582382045,-0.4271263071265348,-0.47119871035051586,0.11862915619208396,-0.4722587330316918,0.5270634643060843,0.6552955464806877,0.07627370222661889,0.6813705624677988,-0.1017037959765234,0.45749114365704524,0.7869211970887039,-0.431343204725091,0.6920374557245611
tmin,0.4409514856362125,1.0,0.8604534496106794,-0.6507731213011763,0.02830210046504019,0.4408566717863328,0.4421005468165976,0.32017631730681256,-0.21425618879389013,-0.1208369797538296,0.8355092275606061,-0.03481839492672461,-0.7160389368551946,0.3787843982934777,0.8243574247867559,0.40302032270786503,-0.18209229962712714
tmean,0.7973853263344264,0.8604534496106794,1.0,-0.2063779392916168,-0.23084082335631537,0.012963117772033966,0.3201891597394299,-0.0691023184738329,0.16508525348066955,0.28752301664236846,0.5748261294186876,0.35659379444933526,-0.5123209432301378,0.5089992245145952,0.9594005212978781,0.037297614522196786,0.27119037447952526
day_night_range,0.3945109582382045,-0.6507731213011763,-0.2063779392916168,1.0,-0.3903059911427734,-0.8499622709197316,-0.3522669560523328,-0.7273065835675417,0.6652280925368013,0.6780643839121818,-0.7908692284974442,0.6120569794150346,0.6470429136105654,-0.0007814053618910145,-0.1782750663562135,-0.7775094272190078,0.771859577898644
precipitation,-0.4271263071265348,0.02830210046504019,-0.23084082335631537,-0.3903059911427734,1.0,0.5126877350451845,0.08112219447653973,0.5694620581356556,-0.5122100830404196,-0.6313904490925222,0.32827526330152806,-0.6290613580214299,-0.2768270247893686,-0.28369379375794385,-0.2057665230216955,0.4874263381249966,-0.5274123461345617
rh_mean,-0.47119871035051586,0.4408566717863328,0.012963117772033966,-0.8499622709197316,0.5126877350451845,1.0,0.20132281363462054,0.764770224703958,-0.7222315550231041,-0.7386942020169329,0.7592256210723933,-0.6786029505511022,-0.5251887506636826,-0.048610749082598034,-0.0051985760160253814,0.8567349728391517,-0.9479461261631166
wind_speed_mean,0.11862915619208396,0.4421005468165976,0.3201891597394299,-0.3522669560523328,0.08112219447653973,0.20132281363462054,1.0,0.3518838966618576,-0.28403409817721303,-0.19992807269314852,0.37871643019620216,-0.17046341114769767,-0.48789995341195724,0.09906050781694133,0.2782747287631215,0.15440258545901495,-0.1166025602811215
cloud_cover,-0.4722587330316918,0.32017631730681256,-0.0691023184738329,-0.7273065835675417,0.5694620581356556,0.764770224703958,0.3518838966618576,1.0,-0.9348301828981087,-0.8459528187621598,0.6548393412685369,-0.8057747808850205,-0.5424873941536007,-0.3093579034732768,-0.08308026882777224,0.6734023823605602,-0.746424214585979
sunshine_duration,0.5270634643060843,-0.21425618879389013,0.16508525348066955,0.6652280925368013,-0.5122100830404196,-0.7222315550231041,-0.28403409817721303,-0.9348301828981087,1.0,0.8637636405098986,-0.5490039410212412,0.8351461953527729,0.4234280699576397,0.42776312907758685,0.17951801851903623,-0.5996229458362504,0.7309558909823968
shortwave_radiation,0.6552955464806877,-0.1208369797538296,0.28752301664236846,0.6780643839121818,-0.6313904490925222,-0.7386942020169329,-0.19992807269314852,-0.8459528187621598,0.8637636405098986,1.0,-0.4852247777344386,0.9861425686369726,0.38260439859979234,0.5707830660360419,0.31089643727609384,-0.6508251586403928,0.7855343054825421
