stratum,variable,valid_n,missing_n,mean,standard_deviation,median,first_quartile,third_quartile,interquartile_range,minimum,maximum,skewness,kurtosis
all_dates,tmax,19316,0,30.13971255,3.345138142,30.690426,28.030424,32.450424,4.42,16.330425,40.200424,-0.506708633,0.0153870364
all_dates,tmin,19316,0,21.61418419,5.243302738,23.770426,17.160425,25.990425,8.83,6.450426,29.500425,-0.7008509843,-0.8649219516
all_dates,tmean,19316,0,25.47602555,4.170732755,26.996052,22.38740575,28.661468,6.27406225,10.637925,34.042923,-0.773218541,-0.524605914
all_dates,day_night_range,19316,0,8.525528361,3.309593893,8.110001,5.76,11.30999825,5.54999825,0.58,18.669999,0.2191380474,-0.9757270612
all_dates,precipitation,19315,1,5.328304425,10.51297633,0.6,0,6.7,6.7,0,261.09998,4.684842753,43.53858604
all_dates,rh_mean,19316,0,79.06006312,8.4005967,80.574125,74.35237625,85.004582,10.65220575,42.204617,97.49054,-0.8686630675,0.8281549628
all_dates,wind_speed_mean,19316,0,4.931550957,3.53407238,4.2136917,2.1897945,6.6185193,4.4287248,0,36.932915,1.13308387,1.520062135
all_dates,cloud_cover,19316,0,32.4423561,25.10949263,28.9791675,10.958333,49.541668,38.583335,0,99.958336,0.5793246456,-0.5016389218
all_dates,sunshine_duration,19316,0,471.3884496,172.6545395,502.29683,360.1777875,616.830975,256.6531875,0,811.8015,-0.6738869116,-0.2853113115
all_dates,shortwave_radiation,19315,1,4575.134403,1282.384152,4616,3919,5396.5,1477.5,266,7991,-0.4460116489,0.2962744231
all_dates,longwave_radiation,19315,1,9556.42102,1088.514671,10012,8599,10514.5,1915.5,6588,11220,-0.620355612,-1.050335047
all_dates,uv_radiation,19315,1,533.612401,140.9779099,529.64,457.1,629.545,172.445,36.629997,900.11,-0.2959486418,0.2217462643
all_dates,pressure_mean,19316,0,1007.995166,5.67201185,1008.050025,1003.4292,1012.849935,9.420735,987.86237,1021.05414,-0.1243044987,-0.9468330782
all_dates,evapotranspiration,19315,1,3.300342309,1.03487194,3.2817605,2.41776,4.0996804,1.6819204,0.39024,6.73776,0.1456682579,-0.8416419599
all_dates,soil_temperature_mean,19316,0,26.47029086,4.007351122,27.912711,23.42301925,29.5126065,6.08958725,12.919583,36.623333,-0.7399864954,-0.5940895166
all_dates,soil_moisture_mean,19316,0,0.3015822408,0.1033809905,0.3289375,0.1890728925,0.40254167,0.2134687775,0.12858331,0.43791673,-0.2076981855,-1.618700833
