stratum,variable,valid_n,missing_n,mean,standard_deviation,median,first_quartile,third_quartile,interquartile_range,minimum,maximum,skewness,kurtosis
march_june,tmax,6466,0,32.27558886,2.511179087,32.380424,30.662925,33.990425,3.3275,21.460424,40.200424,-0.2907647926,0.3240945329
march_june,tmin,6466,0,23.82437793,3.039094956,24.550425,22.060425,26.110424,4.049999,12.060426,29.500425,-0.9267109362,0.4538795925
march_june,tmean,6466,0,27.74565816,2.293431597,28.030844,26.4038615,29.3955265,2.991665,18.274176,34.042923,-0.6270207445,0.2598190605
march_june,day_night_range,6466,0,8.451210935,2.968448978,8.16,6.230001,10.42,4.189999,0.58,18.669999,0.3669356299,-0.301019583
march_june,precipitation,6466,0,7.266919268,13.03554016,1.7,0,9.4,9.4,0,261.09998,4.303712209,38.05044793
march_june,rh_mean,6466,0,77.37830326,9.666452702,79.58287,71.94058,84.3452065,12.4046265,42.204617,97.47027,-0.8525742512,0.3526758773
march_june,wind_speed_mean,6466,0,5.464723215,3.787548564,4.6800003,2.5959969,7.42159,4.8255931,0,36.932915,1.116789285,1.701414613
march_june,cloud_cover,6466,0,34.8495104,23.69916741,30.9729165,16.63125,50.05833425,33.42708425,0,99.833336,0.6039515171,-0.3217892565
march_june,sunshine_duration,6466,0,484.2579753,176.8644104,512.87395,369.9820175,621.654465,251.6724475,0,811.8015,-0.6164011611,-0.2865816598
march_june,shortwave_radiation,6466,0,5198.638571,1443.965862,5519,4322.5,6331,2008.5,323,7991,-0.796041557,-0.01699043926
march_june,longwave_radiation,6466,0,10010.76864,709.6290307,10251,9642.25,10555,912.75,7313,11220,-1.173363419,0.7718957818
march_june,uv_radiation,6466,0,615.9839729,154.0711881,653.679965,529.985,729.55498,199.56998,46.460003,900.11,-0.9136147789,0.335790221
march_june,pressure_mean,6466,0,1005.546443,4.310668249,1005.63333,1002.562515,1008.78754,6.225025,987.86237,1017.0625,-0.1579615269,-0.2774707514
march_june,evapotranspiration,6466,0,3.80254693,0.9264580297,3.7828804,3.14064,4.51296,1.37232,1.04688,6.73776,-0.057113824,-0.5650399354
march_june,soil_temperature_mean,6466,0,28.65621333,2.214879063,28.856039,27.38541975,30.187706,2.80228625,19.832085,36.623333,-0.4838206424,0.3014352363
march_june,soil_moisture_mean,6466,0,0.3071106571,0.1038124901,0.34258333,0.1933020825,0.40398955,0.2106874675,0.12858331,0.43791673,-0.3877651002,-1.451898508
