stratum,variable,valid_n,missing_n,mean,standard_deviation,median,first_quartile,third_quartile,interquartile_range,minimum,maximum,skewness,kurtosis,comparison,group,standardized_mean_difference
operational_threshold_day=False,tmax,6097,0,31.99027732,2.28370794,32.210426,30.550425,33.720425,3.17,21.460424,35.990425,-0.6243567492,0.3833454975,operational_threshold_day,False,2.892928092
operational_threshold_day=False,tmin,6097,0,23.69469426,3.051825158,24.390425,21.880424,26.020426,4.140002,12.060426,29.500425,-0.8980941632,0.3659801918,operational_threshold_day,False,0.912350818
operational_threshold_day=False,tmean,6097,0,27.55950632,2.214118151,27.88459,26.296259,29.155005,2.858746,18.274176,32.107502,-0.7071319685,0.2990440557,operational_threshold_day,False,1.877298739
operational_threshold_day=False,day_night_range,6097,0,8.29558306,2.953196196,7.950001,6.120001,10.189999,4.069998,0.58,18.669999,0.4479472153,-0.1832591698,operational_threshold_day,False,1.112320967
operational_threshold_day=False,precipitation,6097,0,7.639986877,13.29923051,2,0,10,10,0,261.09998,4.21675359,36.68846728,operational_threshold_day,False,-0.6675256069
operational_threshold_day=False,rh_mean,6097,0,77.99114437,9.460478009,80.17823,73.21928,84.610115,11.390835,42.204617,97.47027,-0.9595824691,0.6566440202,operational_threshold_day,False,-1.286206469
operational_threshold_day=False,wind_speed_mean,6097,0,5.368100983,3.772620393,4.5536795,2.5455842,7.2805495,4.7349653,0,36.932915,1.170656278,1.917339945,operational_threshold_day,False,0.4543222674
operational_threshold_day=False,cloud_cover,6097,0,35.86201357,23.84483122,32.437496,17.641666,51.37917,33.737504,0,99.833336,0.5490725907,-0.3911691888,operational_threshold_day,False,-0.9354785278
operational_threshold_day=False,sunshine_duration,6097,0,475.8362881,176.9755464,502.3835,362.46466,613.3485,250.88384,0,807.26666,-0.5744724663,-0.3427273702,operational_threshold_day,False,1.02516198
operational_threshold_day=False,shortwave_radiation,6097,0,5108.38642,1432.155774,5410,4235,6233,1998,323,7889,-0.7671100397,-0.0660188926,operational_threshold_day,False,1.462196724
operational_threshold_day=False,longwave_radiation,6097,0,10010.2908,721.3742216,10263,9633,10563,930,7313,11220,-1.175732592,0.7152071451,operational_threshold_day,False,0.01370222525
operational_threshold_day=False,uv_radiation,6097,0,606.2585862,152.7409144,642.79004,520.5499,718.25995,197.71005,46.460003,892.95,-0.894858611,0.2919485131,operational_threshold_day,False,1.482352472
operational_threshold_day=False,pressure_mean,6097,0,1005.583501,4.390675441,1005.7126,1002.5041,1008.9001,6.396,987.86237,1017.0625,-0.1743815304,-0.3351238286,operational_threshold_day,False,-0.1801703223
operational_threshold_day=False,evapotranspiration,6097,0,3.795005094,0.9289044137,3.78288,3.1291203,4.5072,1.3780797,1.04688,6.73776,-0.07059376723,-0.5729688735,operational_threshold_day,False,0.1463071298
operational_threshold_day=False,soil_temperature_mean,6097,0,28.45321044,2.095244845,28.707083,27.280832,29.955835,2.675003,19.832085,34.58542,-0.664527803,0.2960238274,operational_threshold_day,False,2.073458144
operational_threshold_day=False,soil_moisture_mean,6097,0,0.3143374352,0.1017827131,0.35245836,0.2097917,0.40549996,0.19570826,0.12858331,0.43791673,-0.5113648754,-1.309745695,operational_threshold_day,False,-1.575781488
operational_threshold_day=True,tmax,369,0,36.98980155,0.8706015406,36.720425,36.330425,37.470425,1.14,36.000423,40.200424,1.275996328,1.429324666,operational_threshold_day,True,2.892928092
operational_threshold_day=True,tmin,369,0,25.96714576,1.759029254,26.130424,25.060425,27.310425,2.25,20.080425,29.290424,-0.7042583434,0.246638603,operational_threshold_day,True,0.912350818
operational_threshold_day=True,tmean,369,0,30.82145162,1.065836285,30.842505,30.135427,31.54334,1.407913,27.340424,34.042923,0.05182017503,0.4158047116,operational_threshold_day,True,1.877298739
operational_threshold_day=True,day_night_range,369,0,11.02265579,1.816661109,10.799997,9.709999,12.260002,2.550003,7.119999,16.360001,0.4216197695,-0.2278718135,operational_threshold_day,True,1.112320967
operational_threshold_day=True,precipitation,369,0,1.102710033,3.866240912,0,0,0.4,0.4,0,47.4,6.997900284,65.54759619,operational_threshold_day,True,-0.6675256069
operational_threshold_day=True,rh_mean,369,0,67.25230805,7.06531732,68.45954,63.035267,72.12199,9.086723,45.884144,82.835594,-0.6892324998,0.09855688757,operational_threshold_day,True,-1.286206469
operational_threshold_day=True,wind_speed_mean,369,0,7.061215762,3.680170945,6.5693827,4.452954,9.605998,5.153044,0.35999998,20.008356,0.4880008491,-0.1525826245,operational_threshold_day,True,0.4543222674
