,tmax,tmin,tmean,day_night_range,precipitation,rh_mean,wind_speed_mean,cloud_cover,sunshine_duration,shortwave_radiation,longwave_radiation,uv_radiation,pressure_mean,evapotranspiration,soil_temperature_mean,soil_moisture_mean,vpd_mean
tmax,1.0,0.4182733000905692,0.7917614696646355,0.4117200873646258,-0.47026886409146756,-0.5546604720314197,0.13437576181107797,-0.43455345314968136,0.49052093708479666,0.6455079281932892,-0.00709909851893555,0.6867302433516939,-0.09505023634621282,0.4454920513875928,0.7909795096911184,-0.4891007657181487,0.7167752203212752
tmin,0.4182733000905692,1.0,0.8351466626459985,-0.6024217639285611,0.15921399913950654,0.3035784708717822,0.47765787652411257,0.3157308001184383,-0.19920561579331109,-0.08637809011607811,0.7616782399044291,0.01860620001614629,-0.7409523745930114,0.42430559583267013,0.7786527270753417,0.3263617750688616,-0.11540750054595288
tmean,0.7917614696646355,0.8351466626459985,1.0,-0.14890215885897679,-0.17763076612065182,-0.13037379616470884,0.33359305885219886,-0.06279422537196243,0.16452695548138732,0.3210224173116062,0.4642708641395246,0.4141562938204993,-0.5014242892079788,0.5404494540658226,0.9569794631812806,-0.05899207213346913,0.3353043829767663
day_night_range,0.4117200873646258,-0.6024217639285611,-0.14890215885897679,1.0,-0.6237120409245774,-0.8348084635069805,-0.3372756917034213,-0.7361411094385923,0.6661933262530867,0.6840319422948912,-0.7761676304733726,0.6040455498243249,0.6609240237462197,-0.01446802878662108,-0.10209390776480921,-0.78528305748226,0.7719980972526655
precipitation,-0.47026886409146756,0.15921399913950654,-0.17763076612065182,-0.6237120409245774,1.0,0.8238784631933731,0.10195390419917968,0.7347209440764156,-0.6598456719771155,-0.7762638031922424,0.607931681698733,-0.7257231614826793,-0.4367149853122962,-0.17512532239144898,-0.1591740741095599,0.7911451082123738,-0.811241031744076
rh_mean,-0.5546604720314197,0.3035784708717822,-0.13037379616470884,-0.8348084635069805,0.8238784631933731,1.0,0.19738948528171066,0.8229385160475011,-0.7755235941777289,-0.8246023555717986,0.6981835199177049,-0.764482739732771,-0.5334036116038225,-0.13033204350849248,-0.16097243787928014,0.8983073244450713,-0.9702728003883782
wind_speed_mean,0.13437576181107797,0.47765787652411257,0.33359305885219886,-0.3372756917034213,0.10195390419917968,0.19738948528171066,1.0,0.3266508563114652,-0.27833372938859136,-0.17301953484728222,0.43553835632158344,-0.13699024551182132,-0.48359403315516786,0.08275845213596215,0.28566586727622284,0.16049003567378883,-0.1134246768588817
cloud_cover,-0.43455345314968136,0.3157308001184383,-0.06279422537196243,-0.7361411094385923,0.7347209440764156,0.8229385160475011,0.3266508563114652,1.0,-0.933623009058873,-0.8324257261731197,0.7233517832931908,-0.7720266392789754,-0.5464727900554142,-0.21613780928546145,-0.08892230200109004,0.7326086630441588,-0.7942179798503757
sunshine_duration,0.49052093708479666,-0.19920561579331109,0.16452695548138732,0.6661933262530867,-0.6598456719771155,-0.7755235941777289,-0.27833372938859136,-0.933623009058873,1.0,0.8541061355712428,-0.6004664871064774,0.8102466619859375,0.42094844058777053,0.33942914701024096,0.18948403136384717,-0.6556805733673221,0.7748306527305425
shortwave_radiation,0.6455079281932892,-0.08637809011607811,0.3210224173116062,0.6840319422948912,-0.7762638031922424,-0.8246023555717986,-0.17301953484728222,-0.8324257261731197,0.8541061355712428,1.0,-0.5587759845936437,0.9780283500190762,0.3553977820691785,0.478697331479275,0.3505018500995217,-0.7289175458050337,0.8550813299053188
