,tmax,tmin,tmean,day_night_range,precipitation,rh_mean,wind_speed_mean,cloud_cover,sunshine_duration,shortwave_radiation,longwave_radiation,uv_radiation,pressure_mean,evapotranspiration,soil_temperature_mean,soil_moisture_mean,vpd_mean
tmax,1.0,0.6538812308975385,0.9055771362775118,0.5985320072067359,-0.5262733634250635,-0.6999626445584222,0.1713820828043054,-0.5268980427918434,0.5400595835735783,0.6781739323460055,0.03449182202845848,0.681992699003402,-0.21168746783791995,0.40405191076214736,0.8735393361732345,-0.7217677677829332,0.8305059824003967
tmin,0.6538812308975385,1.0,0.8435781916728269,-0.15068888137490355,-0.4401183717761703,-0.24979016190203354,0.30876564480537166,-0.1904129072313067,0.18631317832501043,0.3321773527141811,0.4097773847155836,0.3589580228239471,-0.3044618076222298,0.25199092101618353,0.8017364371457552,-0.46550810597050113,0.41154406215259
tmean,0.9055771362775118,0.8435781916728269,1.0,0.30126172266635187,-0.5834596132294455,-0.5914174395143044,0.2204552929629135,-0.4556215138342112,0.45506008786009566,0.6051250511906093,0.19102170736941754,0.6192914146677285,-0.25601005100124663,0.38684286954631175,0.942845021143309,-0.6747147131600216,0.7460028642021055
day_night_range,0.5985320072067359,-0.15068888137490355,0.30126172266635187,1.0,-0.2582809611916699,-0.6828950774781551,-0.10427971496486182,-0.5363883310277068,0.5530817590927002,0.5760568182757413,-0.40490126946807153,0.5504161738225533,0.04944751464541791,0.3011075858197691,0.3038702650470431,-0.4560658117979119,0.6617056940266708
precipitation,-0.5262733634250635,-0.4401183717761703,-0.5834596132294455,-0.2582809611916699,1.0,0.5680484716215545,-0.053190807542834284,0.542894403415342,-0.48323898046421143,-0.6714589709079599,0.2004455541732165,-0.6794592250514112,0.022283594812808873,-0.46939653641000534,-0.5463484290644757,0.5068766964324191,-0.5963981289260921
rh_mean,-0.6999626445584222,-0.24979016190203354,-0.5914174395143044,-0.6828950774781551,0.5680484716215545,1.0,-0.050378388552285096,0.6737173212960117,-0.6823105241717604,-0.7583102416058785,0.4138823343872239,-0.7384696372698102,0.02768026493997909,-0.40590700343087066,-0.5834429609260664,0.7354220940795797,-0.9680120085352606
wind_speed_mean,0.1713820828043054,0.30876564480537166,0.2204552929629135,-0.10427971496486182,-0.053190807542834284,-0.050378388552285096,1.0,0.1732857695630273,-0.1397228659627824,-0.023308768131969488,0.25673315594022805,-0.01788412284388791,-0.31066581566645685,0.03477708345633034,0.1800509351042667,-0.16941439788127366,0.09913028922395282
cloud_cover,-0.5268980427918434,-0.1904129072313067,-0.4556215138342112,-0.5363883310277068,0.542894403415342,0.6737173212960117,0.1732857695630273,1.0,-0.92565334543082,-0.7949555882364702,0.5463765739618206,-0.7714277579266136,-0.15307184424349332,-0.530389432525863,-0.45252512463843053,0.4689066301950013,-0.6654764054098171
sunshine_duration,0.5400595835735783,0.18631317832501043,0.45506008786009566,0.5530817590927002,-0.48323898046421143,-0.6823105241717604,-0.1397228659627824,-0.92565334543082,1.0,0.8170641326960987,-0.5068667340631413,0.7933952739300164,0.11259069822917407,0.575438002595467,0.4576486046971746,-0.4707580920015006,0.6752668903706914
shortwave_radiation,0.6781739323460055,0.3321773527141811,0.6051250511906093,0.5760568182757413,-0.6714589709079599,-0.7583102416058785,-0.023308768131969488,-0.7949555882364702,0.8170641326960987,1.0,-0.41479677738629445,0.9843080774424621,-0.003311892295974701,0.7369520344882964,0.6086950520999871,-0.6000824520390515,0.7756658184057327
longwave_radiation,0.03449182202845848,0.4097773847155836,0.19102170736941754,-0.40490126946807153,0.2004455541732165,0.4138823343872239,0.25673315594022805,0.5463765739618206,-0.5068667340631413,-0.41479677738629445,1.0,-0.3675947472227581,-0.29834542906172024,-0.23277954892630204,0.20462945922231365,0.09294760850130944,-0.2939727839179831
uv_radiation,0.681992699003402,0.3589580228239471,0.6192914146677285,0.5504161738225533,-0.6794592250514112,-0.7384696372698102,-0.01788412284388791,-0.7714277579266136,0.7933952739300164,0.9843080774424621,-0.3675947472227581,1.0,-0.019570678979476824,0.7301663305472762,0.6265166827286067,-0.5960766497796333,0.7624516531850132
pressure_mean,-0.21168746783791995,-0.3044618076222298,-0.25601005100124663,0.04944751464541791,0.022283594812808873,0.02768026493997909,-0.31066581566645685,-0.15307184424349332,0.11259069822917407,-0.003311892295974701,-0.29834542906172024,-0.019570678979476824,1.0,-0.007449129557901818,-0.24067942785520696,0.14109559055295331,-0.10140725601749417
evapotranspiration,0.40405191076214736,0.25199092101618353,0.38684286954631175,0.3011075858197691,-0.46939653641000534,-0.40590700343087066,0.03477708345633034,-0.530389432525863,0.575438002595467,0.7369520344882964,-0.23277954892630204,0.7301663305472762,-0.007449129557901818,1.0,0.33229393030082316,-0.18222361249501198,0.41412203370246453
soil_temperature_mean,0.8735393361732345,0.8017364371457552,0.942845021143309,0.3038702650470431,-0.5463484290644757,-0.5834429609260664,0.1800509351042667,-0.45252512463843053,0.4576486046971746,0.6086950520999871,0.20462945922231365,0.6265166827286067,-0.24067942785520696,0.33229393030082316,1.0,-0.7477090974157706,0.7251687445361462
soil_moisture_mean,-0.7217677677829332,-0.46550810597050113,-0.6747147131600216,-0.4560658117979119,0.5068766964324191,0.7354220940795797,-0.16941439788127366,0.4689066301950013,-0.4707580920015006,-0.6000824520390515,0.09294760850130944,-0.5960766497796333,0.14109559055295331,-0.18222361249501198,-0.7477090974157706,1.0,-0.7891008517905665
vpd_mean,0.8305059824003967,0.41154406215259,0.7460028642021055,0.6617056940266708,-0.5963981289260921,-0.9680120085352606,0.09913028922395282,-0.6654764054098171,0.6752668903706914,0.7756658184057327,-0.2939727839179831,0.7624516531850132,-0.10140725601749417,0.41412203370246453,0.7251687445361462,-0.7891008517905665,1.0
