variable,vif,maximum_absolute_correlation,most_correlated_variable,global_condition_index,correlation_cluster_order,primary_association_eligible
tmax,inf,0.7973853263,tmean,7.367026206e+15,13,False
tmin,inf,0.8604534496,tmean,7.367026206e+15,14,False
tmean,42.31898654,0.9594005213,soil_temperature_mean,7.367026206e+15,15,False
day_night_range,inf,-0.8499622709,rh_mean,7.367026206e+15,8,False
precipitation,2.165094559,-0.6313904491,shortwave_radiation,7.367026206e+15,1,True
rh_mean,56.82022138,-0.9479461262,vpd_mean,7.367026206e+15,10,True
wind_speed_mean,1.675985567,-0.4878999534,pressure_mean,7.367026206e+15,0,True
cloud_cover,13.61176106,-0.9348301829,sunshine_duration,7.367026206e+15,6,False
sunshine_duration,10.94811001,-0.9348301829,cloud_cover,7.367026206e+15,7,False
shortwave_radiation,83.26984592,0.9861425686,uv_radiation,7.367026206e+15,4,False
longwave_radiation,22.56534595,0.8355092276,tmin,7.367026206e+15,2,False
uv_radiation,59.54236782,0.9861425686,shortwave_radiation,7.367026206e+15,5,False
pressure_mean,3.175370486,-0.7466971576,longwave_radiation,7.367026206e+15,3,True
evapotranspiration,6.012765268,0.6199024999,uv_radiation,7.367026206e+15,12,False
soil_temperature_mean,23.77401929,0.9594005213,tmean,7.367026206e+15,16,False
soil_moisture_mean,7.72508351,0.8567349728,rh_mean,7.367026206e+15,9,False
vpd_mean,66.95637295,-0.9479461262,rh_mean,7.367026206e+15,11,False
