excluded_year,selected_model,coefficient,irr,irr_ci_lower,irr_ci_upper,p_value
1972,negative_binomial,0.04589749113,1.046967082,0.7257546525,1.510345221,0.8060772863
1973,negative_binomial,0.05518332544,1.056734323,0.7323125989,1.52487808,0.7680529428
1974,negative_binomial,0.01504847159,1.01516227,0.7193486388,1.432621651,0.9317638805
1975,negative_binomial,0.06844914937,1.07084617,0.7436533466,1.541997391,0.7129259212
1976,negative_binomial,0.04534840447,1.046392364,0.7285653894,1.502867136,0.80606122
1977,negative_binomial,0.01671335867,1.016853808,0.7205861733,1.434931318,0.924224337
1978,negative_binomial,0.01726827291,1.017418231,0.720997897,1.435704406,0.9217127118
1979,negative_binomial,0.08345791567,1.087039467,0.7627744656,1.549153592,0.6442622225
1981,negative_binomial,0.01893298911,1.019113355,0.7222307505,1.438033522,0.9141825892
1982,negative_binomial,0.01948791322,1.019679042,0.7226409417,1.438813232,0.9116741549
1983,negative_binomial,0.02004286027,1.020245067,0.7230507598,1.439594638,0.9091665359
1984,negative_binomial,0.0205978383,1.020811438,0.7234602092,1.440377754,0.9066597397
1985,negative_binomial,0.02115285528,1.021378163,0.7238692947,1.441162595,0.9041537739
1992,negative_binomial,0.03444765814,1.035047851,0.7298032752,1.467962792,0.846787336
1995,negative_binomial,0.03103737806,1.03152406,0.7271225553,1.463359756,0.861899717
1999,negative_binomial,0.02753727473,1.02791993,0.724659948,1.458089943,0.8773048102
2008,negative_binomial,0.02218372033,1.022431609,0.7180217417,1.455897968,0.9020930335
2010,negative_binomial,0.01046334334,1.010518276,0.7128392432,1.432506971,0.9531370414
2011,negative_binomial,0.03562468376,1.036266846,0.7343971004,1.462218431,0.8393073423
2012,negative_binomial,0.03618363358,1.036846229,0.7347987493,1.4630538,0.8368269512
2013,negative_binomial,0.03674284173,1.037426204,0.7352002585,1.463891118,0.8343475631
2014,negative_binomial,0.01153524453,1.011602032,0.7093785847,1.44258467,0.9492058306
2015,negative_binomial,0.03786207869,1.03858798,0.7360029045,1.46557165,0.8293917482
2017,negative_binomial,0.03898249061,1.039752278,0.7368051146,1.467260173,0.8244397964
2018,negative_binomial,0.03954316648,1.040335406,0.7372060644,1.468107505,0.8219652513
2019,negative_binomial,0.04010416702,1.040919198,0.7376068988,1.468956945,0.8194916791
2020,negative_binomial,0.04066549296,1.041503657,0.7380075892,1.469808554,0.8170191392
2021,negative_binomial,0.01181394476,1.011884005,0.7041497517,1.454107222,0.9490802444
2022,negative_binomial,0.04178906261,1.042674517,0.7388094975,1.471516204,0.8120768583
2023,negative_binomial,-0.04201093838,0.9588592921,0.6619491379,1.388945297,0.8241530102
2024,negative_binomial,-0.03055444528,0.9699076237,0.6685239777,1.407160895,0.8721507315
