year,month,model,mean_tmax,ci_lower,ci_upper,prediction_lower,prediction_upper
2025,3,climatology_linear_trend_scenario,32.31728943,31.9520906,32.68248825,30.43438019,34.20019866
2025,4,climatology_linear_trend_scenario,33.56727354,33.10641201,34.02813507,31.66349563,35.47105145
2025,5,climatology_linear_trend_scenario,33.05016825,32.72692326,33.37341325,31.17494445,34.92539206
2025,6,climatology_linear_trend_scenario,32.29183331,32.04602304,32.53764358,30.42839571,34.15527091
2026,3,climatology_linear_trend_scenario,32.3368834,31.96880759,32.70495921,30.45341405,34.22035275
2026,4,climatology_linear_trend_scenario,33.58686751,33.12337664,34.05035838,31.68245139,35.49128364
2026,5,climatology_linear_trend_scenario,33.06976223,32.74388159,33.39564286,31.1940823,34.94544215
2026,6,climatology_linear_trend_scenario,32.31142729,32.06068457,32.56217001,30.44733262,34.17552195
2027,3,climatology_linear_trend_scenario,32.35647738,31.98541841,32.72753634,30.47242277,34.24053198
2027,4,climatology_linear_trend_scenario,33.60646149,33.14025386,34.07266912,31.70138234,35.51154063
2027,5,climatology_linear_trend_scenario,33.0893562,32.760716,33.41799641,31.21319486,34.96551754
2027,6,climatology_linear_trend_scenario,32.33102126,32.07525483,32.58678769,30.46624421,34.19579831
2028,3,climatology_linear_trend_scenario,32.37607135,32.00192561,32.75021709,30.49140639,34.26073631
2028,4,climatology_linear_trend_scenario,33.62605546,33.15704517,34.09506576,31.72028852,35.53182241
2028,5,climatology_linear_trend_scenario,33.10895018,32.77742958,33.44047078,31.23228214,34.98561821
2028,6,climatology_linear_trend_scenario,32.35061523,32.08973911,32.61149136,30.48513049,34.21609998
2029,3,climatology_linear_trend_scenario,32.39566532,32.01833172,32.77299893,30.51036491,34.28096574
2029,4,climatology_linear_trend_scenario,33.64564944,33.17375211,34.11754676,31.73916994,35.55212894
2029,5,climatology_linear_trend_scenario,33.12854415,32.79402544,33.46306286,31.25134417,35.00574413
2029,6,climatology_linear_trend_scenario,32.37020921,32.10414236,32.63627606,30.50399149,34.23642693
